,date,size,edges,diameter,clustering,core_percent,anger,disgust,fear,joy,sadness,surprise,volume,daychange
0,2021-01-04,917,848,10,0.00045796930307979804,0.26297169811320753,0.05497115071536072,0.0038048893825773453,0.13744810607117489,0.13290930127020578,0.06349865524649506,0.1673590001193807,143301900,-4.110000000000014
1,2021-01-05,750,662,19,0.0006874157741400127,0.006042296072507553,0.05322073015921041,0.01008738309028947,0.19894936881210576,0.11754492747157917,0.05879805715144734,0.16846846285342088,97664900,2.1199960000000146
2,2021-01-06,851,741,16,0.00011299921696087496,0.13630229419703105,0.061406184481930484,0.00794165314496071,0.15497389063524175,0.10506141809405183,0.06555171760112226,0.1874086265719416,155088000,-1.120002999999997
3,2021-01-07,832,722,12,0.0,0.23822714681440443,0.05137359949400737,0.0031404167075780197,0.21110491741947576,0.10078485400224713,0.06467703019263427,0.18504208168626798,109578200,2.5599969999999814
4,2021-01-08,1442,1356,13,0.0004826190179147475,0.1570796460176991,0.07440218667300741,0.003546913454628264,0.22000267349685254,0.10383068394105789,0.06994136364795703,0.16919870964653705,105158200,-0.3799899999999923
5,2021-01-11,1523,1431,14,0.0001857382450332228,0.15443745632424877,0.08686828602286983,0.012243981887727887,0.30438020462604776,0.09466469534045562,0.09823493663953207,0.14470540003719265,100384500,-0.2100059999999928
6,2021-01-12,1153,1010,13,5.2792337569289936e-05,0.2089108910891089,0.07551439966724882,0.01717475601055041,0.22691892880279585,0.1054671856730131,0.10067960680716219,0.17893611482539648,91951100,0.3000030000000038
7,2021-01-13,1011,936,14,0.0004123938450252673,0.01282051282051282,0.06742768611951434,0.008790571485585447,0.26746899788711315,0.1328246418985252,0.063329782443712,0.16616552940537735,88636800,2.1300039999999854
8,2021-01-14,692,582,13,4.361076668826856e-05,0.070446735395189,0.05744346027863257,0.00429998941571225,0.2156283953356128,0.11759388101723636,0.06810076466695178,0.18659630638675187,90221800,-1.8899990000000173
9,2021-01-15,798,676,10,8.233413502700852e-05,0.17307692307692307,0.06616070659676597,0.0024823252902587303,0.2782777170826256,0.12422959040310477,0.09349533021629998,0.13639245273609304,111598500,-1.6400000000000006
10,2021-01-19,761,687,17,0.00010499861518301251,0.3173216885007278,0.05989944909054072,0.0023586344292383286,0.14841779170152353,0.1464503413050368,0.07032286417972985,0.20918967426916402,90757300,0.050002999999989584
11,2021-01-20,919,832,15,0.0002715475313309104,0.2848557692307692,0.0652645739726154,0.0040723595801436035,0.16705144191906698,0.12766841280758942,0.08615463791723064,0.2085318735844724,104319500,3.369995000000017
12,2021-01-21,1079,990,23,0.0005137822981575673,0.2686868686868687,0.05051795531840493,0.0028823212334268193,0.19656481985552104,0.12873791995276043,0.05313156661665205,0.19301865522537284,120150900,3.069991999999985
13,2021-01-22,1127,1023,18,0.000743402381448996,0.2727272727272727,0.09668312753408699,0.004639212624078706,0.16436466728844176,0.12525503211340036,0.06726567897202693,0.1944537219160802,114459400,2.7900080000000003
14,2021-01-25,2255,2275,15,0.00021167159084350357,0.15164835164835164,0.1248804006018086,0.008920990989253261,0.13281454902050036,0.11593831979541973,0.09110466407948375,0.1869264795640954,157611700,-0.15000900000001138
