,date,size,edges,diameter,clustering,core_percent,anger,disgust,fear,joy,sadness,surprise,volume,daychange
0,2021-01-04,304,246,10,0.0005492388126112382,0.17073170731707318,0.05475759149113471,0.004281792363262409,0.1260897026595744,0.11336786627021282,0.06299608850638302,0.18396464165425547,56064000,0.09249900000000366
1,2021-01-05,247,196,9,0.0,0.03571428571428571,0.03798210724357797,0.004618267407889905,0.12297797527064208,0.10782583157247706,0.059414677030733914,0.18107368157385337,32276000,3.050003000000004
2,2021-01-06,243,187,8,0.001234567901234568,0.1497326203208556,0.05305996734587161,0.01300467796211011,0.15645108410660552,0.07937122733128438,0.07891184481743109,0.17930828225779816,58042400,-6.080009000000004
3,2021-01-07,272,215,8,0.0007598039215686275,0.009302325581395349,0.05389131140381364,0.008708666242542377,0.16675450158686453,0.09326524901720332,0.060628029123304984,0.19626763961559301,46148000,3.764998999999989
4,2021-01-08,217,180,8,0.001661577845976277,0.08888888888888889,0.05049736630480766,0.004183277629230772,0.15297800884278853,0.13121495373076936,0.05905278683653847,0.2012119289817308,29252800,-0.8574979999999925
5,2021-01-11,626,536,12,0.0,0.28171641791044777,0.04272591161317083,0.0049460832801626105,0.10159399135734964,0.1391027669904065,0.05917087548016258,0.17811488904845535,51834400,2.0274960000000135
6,2021-01-12,389,306,8,0.0,0.07516339869281045,0.04928917010481582,0.003487897702096317,0.1526852042563742,0.12274389860923514,0.05450245907705381,0.1939955444008498,29147600,-2.677490000000006
7,2021-01-13,267,216,7,0.0,0.10185185185185185,0.04945603493728221,0.0025363378770383318,0.18263509378257828,0.17241245138397226,0.05516611735365856,0.18944772880487795,21002800,0.41751100000001884
8,2021-01-14,227,185,8,0.0,0.0972972972972973,0.06543702981739132,0.0037972064156521733,0.22701123347956526,0.10260232360043482,0.06471545872869565,0.15978692464460859,28312000,-3.7474980000000073
9,2021-01-15,145,101,8,0.0,0.0,0.08886588680517239,0.00465695037741379,0.11781930806465526,0.1266528809672413,0.06421399226379312,0.1857238449706896,27778000,-3.6849980000000073
10,2021-01-19,256,220,7,0.0,0.08181818181818182,0.03838273447230765,0.005094865862884619,0.15940196851500016,0.11258807214846175,0.050032493411153775,0.19491842090192288,22618800,0.08999599999998509
11,2021-01-20,179,137,7,0.0,0.0,0.03846790988554215,0.003055116427530118,0.12683471308192762,0.18384199658554215,0.03902966700000004,0.1830492708536144,25857200,2.5400080000000003
12,2021-01-21,293,236,9,0.001312403480292543,0.1694915254237288,0.05532551333074329,0.0031536491375000002,0.1852909635814188,0.1138683493594596,0.0677143902695945,0.1520789506310812,33778000,4.4900049999999965
13,2021-01-22,300,249,8,0.000625,0.1686746987951807,0.05886754789151284,0.0043897177699261936,0.1598286506501845,0.12125283318745386,0.0482193144225093,0.17287723933136553,24682000,-0.2749939999999924
14,2021-01-25,232,207,11,0.0011551678039996504,0.16908212560386474,0.04947102491622638,0.0029615311477358503,0.10938279180377343,0.09794702834415085,0.07529566169094336,0.17903591911471667,25111200,-1.285004000000015
15,2021-01-26,287,253,8,0.000937448149991704,0.07114624505928854,0.04492687660679239,0.004655073591094327,0.15289862604679264,0.12717304070377364,0.07183190370377347,0.11424877624528271,16398000,-1.4524999999999864
16,2021-01-27,249,220,8,0.0010520366714036368,0.42272727272727273,0.05933983925407406,0.0036071674256666665,0.1364868811609629,0.11206153041755548,0.24619072140370368,0.14077678788259246,37127200,-3.1224980000000073
17,2021-01-28,317,272,6,0.0,0.45955882352941174,0.053668106534812174,0.0067226953911945385,0.1309691229788399,0.0844071331696242,0.21104050708225278,0.10447837432866873,22831600,0.5475010000000111
18,2021-01-29,159,114,7,0.0,0.0,0.05275948344937498,0.005133807424187502,0.15700877780937503,0.10818410980624989,0.06866467960250004,0.15094931940187506,27155200,-0.8524930000000097
19,2021-02-01,302,272,8,0.0,0.4227941176470588,0.054897735271383565,0.003237444191320757,0.09617875839465395,0.265759880942767,0.05639138007672966,0.14951004903836498,21720400,1.8374939999999924
20,2021-02-02,281,228,9,0.0,0.25,0.0639392151751881,0.003484429050714281,0.13036812444999984,0.14048339162255635,0.0675334129932331,0.19140310128345847,22044000,1.5800020000000075
21,2021-02-03,256,211,7,0.0,0.052132701421800945,0.05405278386776867,0.007644216560743809,0.09561269781900834,0.1472175997999999,0.06068348165247936,0.19500458246528923,24540800,-1.055008000000015
22,2021-02-04,229,189,6,0.0,0.14285714285714285,0.06919944647848103,0.003656837064050637,0.14072813450084407,0.08723451153122372,0.07397789818987338,0.25234008906286914,20134000,1.3325040000000001
23,2021-02-05,142,109,5,0.0035211267605633804,0.0,0.050361473715126046,0.00372815329142857,0.15890700155327733,0.14048497488655476,0.052614439297478985,0.20550653350336126,16915200,-1.3399960000000135
24,2021-02-08,492,416,14,4.283265998942631e-05,0.2283653846153846,0.051126345620042084,0.003905109461265833,0.08632524920987335,0.12140999081497914,0.07490397364135035,0.19435585816202572,43462400,7.114990000000006
25,2021-02-09,362,309,10,0.0017265193370165745,0.003236245954692557,0.046572125140596964,0.00425522546728358,0.14364315704895506,0.1431405198002986,0.06733370218507453,0.19014133163283573,28756000,-0.7749939999999924
26,2021-02-10,478,412,11,0.0017802432881122287,0.14805825242718446,0.03873405559791181,0.0036733441810904858,0.11262771445498862,0.1280104155733177,0.06589298506334122,0.1687880164823666,48535200,3.0099950000000035
27,2021-02-11,540,465,8,0.000633264563380964,0.12043010752688173,0.05950647185643007,0.004493426269980807,0.15270528666717859,0.14277344829462604,0.04892354700594994,0.1699627025397313,45082800,2.7050020000000075
28,2021-02-12,516,441,13,0.0030240031420990725,0.1292517006802721,0.06242405209769395,0.003685789174591197,0.1508962274357653,0.14773768293291392,0.0640491888643605,0.16796733887882617,37475600,-0.8874969999999962
29,2021-02-16,257,203,6,0.0,0.09852216748768473,0.06896666017336066,0.00247730008922131,0.11841668455819669,0.14845440091680331,0.06029976237950819,0.18829868203278688,32196000,2.660002999999989
30,2021-02-17,156,115,2,0.0,0.0782608695652174,0.049599804609352496,0.004029009846546759,0.1453696736050359,0.1052635061532374,0.07374882828057559,0.15449959928417256,27475600,-2.650008999999983
31,2021-02-18,319,267,8,0.0,0.0,0.04683678694697983,0.005341672027416102,0.13109030265000002,0.10729751642416098,0.07089352687046986,0.13280519659127502,23386800,1.0
32,2021-02-19,332,295,11,0.0008647024354147971,0.2033898305084746,0.06038831656352206,0.00486337328267295,0.13713659042327053,0.07618385207295598,0.04662078852610058,0.12629327938207532,27172400,-0.9799959999999999
33,2021-02-22,596,544,11,0.0,0.45955882352941174,0.04264359139456341,0.004193275897512365,0.1253676092673804,0.1535522752370673,0.1582653971189453,0.14018206822915982,32588400,-4.190003000000019
34,2021-02-23,275,227,7,0.0005303030303030302,0.004405286343612335,0.0742955818906016,0.004562093878421047,0.2018262682518794,0.09359618757255644,0.08729266224022554,0.14223910924473676,39178000,0.6674959999999999
35,2021-02-24,818,784,15,0.002156478490423502,0.05102040816326531,0.04952629164311824,0.005293496275615099,0.11711306974689382,0.09445330389241187,0.10969817677198512,0.18522334127028053,44832000,3.7625119999999868
36,2021-02-25,779,704,18,0.00022278487228789647,0.3352272727272727,0.05230240952389028,0.018979784548485677,0.13632817521945137,0.09726697089373386,0.053744765373629294,0.22290641353798965,82443600,-7.380005000000011
37,2021-02-26,469,400,7,0.00172477928942944,0.19,0.06981877909367684,0.014581564422482455,0.16578570304058524,0.09345348811756447,0.09316682025503531,0.17075658555213125,50093200,-0.3799899999999923
38,2021-03-01,277,221,7,0.0,0.027149321266968326,0.048573788192857105,0.003345966609142853,0.1556838494085714,0.1339704419914286,0.0756999491117857,0.16370998181999988,35318400,-0.33250400000000013
39,2021-03-02,267,212,4,0.0,0.0,0.06408848374517537,0.005339468470526314,0.1476823398528946,0.2614755664478069,0.05116246102236846,0.1438644488789472,26411600,-4.9375
40,2021-03-03,350,300,13,0.00042857142857142855,0.15666666666666668,0.06268352850933724,0.007309232143373498,0.10549902140737938,0.07933634478132512,0.05980809631777119,0.18052555047771057,37759200,-6.214995999999985
41,2021-03-04,467,426,12,0.0011942243839012658,0.002347417840375587,0.058328387097968656,0.008607831529977449,0.0796358321584652,0.06979043194469527,0.06658692018781052,0.18687788270090291,57334400,-4.305008000000001
42,2021-03-05,498,453,10,0.000573067200634963,0.5121412803532008,0.08909202007938151,0.009407054556597943,0.0706545362604123,0.0809528107958763,0.16399919900680426,0.1546954591480412,54284000,-0.8850020000000001
43,2021-03-08,335,281,7,0.0003967970068244968,0.11743772241992882,0.061772043556961996,0.0073004597133544385,0.15341059966170914,0.09470036850791136,0.12460452485569626,0.16773255165094927,54311200,-8.567497000000003
