,date,size,edges,avgdeg,diameter,clustering,connectivity,anger,disgust,fear,joy,sadness,surprise,volume,daychange
0,2021-01-04,33,29,-0.3062164486296753,6,0.0,0,0.10452577053409094,0.0019512063670454544,0.4202872411522727,0.046266125956818185,0.0675079734409091,0.07224460101590907,11139200,-0.1200000000000001
1,2021-01-05,23,18,-0.35675303400633834,4,0.0,0,0.10611344285833335,0.0011078171433333334,0.35521632527083336,0.12827108067916668,0.11309035961250001,0.12426010665000002,9108900,0.14999999999999947
2,2021-01-06,31,23,0.046691263877947635,4,0.0,0,0.061022257360714274,0.0018693685757142867,0.18272482779285718,0.07598830838214285,0.10633957710357145,0.17347273261428575,11022300,0.0
3,2021-01-07,30,25,-0.41096409295188324,4,0.0,0,0.0783949203975,0.001260113602,0.32687365084750003,0.12322778457499997,0.10435936612499996,0.11029071607,13062800,0.3099999999999996
4,2021-01-08,51,45,-0.2129261739159973,4,0.0,0,0.08435451604999998,0.002135574795625,0.2342589605,0.07259077279375001,0.06111351889062497,0.15159162984375005,23039300,0.33999999999999986
5,2021-01-11,60,56,-0.1859888957899898,6,0.0,0,0.11411273803333333,0.001746983115866667,0.2743896941392,0.1406971772386667,0.038844056110666644,0.12478307820933343,15720100,0.010000000000000675
6,2021-01-12,67,51,-0.08631607744359873,5,0.0,0,0.07598534987692306,0.00150440634,0.3181020483030769,0.11495196887384618,0.050641605596923066,0.17452775931384623,9416000,-0.0600000000000005
7,2021-01-13,49,41,-0.35301381390667197,6,0.0,0,0.06748201886153841,0.0018383820151923072,0.15186135086019234,0.16777626792884615,0.04019453299807691,0.25904838598846147,8345500,-0.20999999999999996
8,2021-01-14,232,188,-0.2589754037185333,13,0.0,0,0.05210493079581389,0.003063539253767443,0.10678365616976748,0.14500071777395343,0.06455644616232561,0.24666318333255804,65231300,1.5999999999999996
9,2021-01-15,456,368,-0.15669747069082468,17,0.0,0,0.06060958893094061,0.004816561491163367,0.12090642403539592,0.12478859826831692,0.04601872098910892,0.17693880724529695,153854700,-0.8399999999999999
