Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,6.700000,6.820000,6.520000,6.580000,6.580000,11139200
2021-01-05,6.620000,6.800000,6.560000,6.770000,6.770000,9108900
2021-01-06,6.710000,6.910000,6.630000,6.710000,6.710000,11022300
2021-01-07,6.750000,7.120000,6.720000,7.060000,7.060000,13062800
2021-01-08,7.220000,7.640000,7.100000,7.560000,7.560000,23039300
2021-01-11,7.640000,7.790000,7.320000,7.650000,7.650000,15720100
2021-01-12,7.690000,7.710000,7.480000,7.630000,7.630000,9416000
2021-01-13,7.650000,7.660000,7.400000,7.440000,7.440000,8345500
2021-01-14,7.510000,9.330000,7.470000,9.110000,9.110000,65231300
2021-01-15,10.680000,11.560000,9.400000,9.840000,9.840000,153854700
2021-01-19,10.850000,12.390000,10.580000,12.350000,12.350000,112483200
2021-01-20,13.230000,13.640000,12.380000,12.790000,12.790000,130140700
2021-01-21,12.620000,12.950000,12.010000,12.850000,12.850000,63272900
2021-01-22,12.370000,14.280000,12.170000,14.040000,14.040000,120473600
2021-01-25,19.549999,20.830000,15.740000,18.030001,18.030001,363829100
2021-01-26,19.090000,19.510000,17.190001,18.920000,18.920000,242740800
2021-01-27,20.250000,28.770000,19.809999,25.100000,25.100000,372222600
2021-01-28,19.469999,22.500000,13.400000,14.650000,14.650000,194906600
2021-01-29,17.980000,18.120001,13.690000,14.100000,14.100000,94049200
2021-02-01,14.640000,15.540000,12.730000,14.630000,14.630000,78506000
2021-02-02,13.470000,13.750000,11.080000,11.550000,11.550000,80520900
2021-02-03,11.720000,12.470000,11.080000,12.000000,12.000000,50001300
2021-02-04,12.120000,12.430000,11.530000,12.150000,12.150000,33668000
2021-02-05,11.920000,13.670000,11.880000,13.230000,13.230000,44183100
2021-02-08,13.780000,14.350000,13.300000,13.760000,13.760000,37068900
2021-02-09,13.610000,13.650000,13.010000,13.430000,13.430000,23252500
2021-02-10,13.070000,13.490000,12.750000,13.100000,13.100000,27277900
2021-02-11,12.840000,13.090000,12.130000,12.460000,12.460000,22895500
2021-02-12,12.290000,13.290000,12.120000,13.040000,13.040000,18222500
2021-02-16,13.120000,13.170000,12.050000,12.210000,12.210000,25480200
2021-02-17,11.800000,11.820000,11.010000,11.320000,11.320000,26222900
2021-02-18,10.830000,11.280000,10.750000,10.940000,10.940000,19052600
2021-02-19,10.970000,11.190000,10.620000,10.900000,10.900000,20132700
2021-02-22,10.610000,11.560000,10.570000,10.680000,10.680000,21227500
2021-02-23,10.290000,10.460000,9.630000,10.400000,10.400000,27150600
2021-02-24,10.290000,11.720000,10.180000,11.320000,11.320000,40660700
2021-02-25,12.140000,12.150000,10.350000,10.580000,10.580000,46082800
2021-02-26,10.480000,10.820000,10.010000,10.050000,10.050000,22542400
2021-03-01,10.290000,11.250000,10.290000,10.910000,10.910000,24897300
2021-03-02,10.900000,10.940000,10.420000,10.500000,10.500000,12395300
2021-03-03,10.480000,10.720000,10.050000,10.150000,10.150000,14866300
2021-03-04,10.010000,10.370000,9.590000,9.840000,9.840000,26124100
2021-03-05,9.800000,9.850000,8.820000,9.450000,9.450000,23723400
2021-03-08,9.390000,10.020000,9.190000,9.750000,9.750000,16479500
2021-03-09,10.190000,10.680000,10.030000,10.450000,10.450000,21437800
2021-03-10,11.010000,11.010000,10.150000,10.340000,10.340000,23939100
2021-03-11,10.550000,10.800000,10.330000,10.700000,10.700000,12306200
2021-03-12,10.470000,11.930000,10.360000,11.850000,11.850000,25863200
2021-03-15,12.090000,12.520000,11.550000,11.680000,11.680000,25353500
2021-03-16,11.870000,12.200000,11.270000,11.460000,11.460000,19812400
2021-03-17,11.330000,11.660000,11.150000,11.600000,11.600000,9710500
2021-03-18,11.390000,11.470000,10.660000,10.760000,10.760000,11400300
2021-03-19,10.830000,11.170000,10.690000,10.950000,10.950000,10519100
2021-03-22,11.000000,11.340000,10.660000,10.710000,10.710000,7903600
2021-03-23,10.690000,10.690000,10.020000,10.070000,10.070000,12245500
2021-03-24,10.210000,10.220000,9.550000,9.580000,9.580000,12636100
2021-03-25,9.310000,9.970000,9.250000,9.880000,9.880000,14363900
2021-03-26,10.050000,10.050000,9.290000,9.630000,9.630000,13197200
2021-03-29,9.560000,9.670000,9.140000,9.200000,9.200000,13538000
2021-03-30,9.080000,9.410000,8.880000,9.340000,9.340000,17569600
2021-03-31,8.610000,8.730000,8.360000,8.430000,8.430000,32865200
2021-04-01,8.590000,8.890000,8.500000,8.600000,8.600000,14709900
2021-04-05,8.750000,9.340000,8.620000,9.300000,9.300000,18460000
2021-04-06,9.130000,9.280000,8.940000,8.990000,8.990000,9807300
2021-04-07,9.450000,9.510000,8.910000,8.910000,8.910000,16106100
2021-04-08,8.990000,9.590000,8.950000,9.440000,9.440000,11406800
2021-04-09,9.320000,9.420000,9.100000,9.130000,9.130000,6685200
2021-04-12,9.090000,9.280000,8.960000,9.030000,9.030000,6501800
2021-04-13,9.070000,9.220000,8.900000,9.100000,9.100000,6896000
2021-04-14,9.050000,9.370000,8.990000,9.000000,9.000000,7711600
2021-04-15,9.100000,9.140000,8.650000,8.770000,8.770000,8438200
2021-04-16,8.690000,8.760000,8.500000,8.700000,8.700000,7577500
2021-04-19,8.650000,8.790000,8.460000,8.620000,8.620000,6377700
2021-04-20,8.590000,8.690000,8.060000,8.210000,8.210000,12637600
2021-04-21,8.090000,8.670000,8.040000,8.660000,8.660000,9263300
2021-04-22,8.690000,8.970000,8.580000,8.640000,8.640000,8636300
2021-04-23,8.660000,8.880000,8.590000,8.850000,8.850000,5426100
2021-04-26,8.860000,9.190000,8.840000,9.090000,9.090000,8168100
2021-04-27,9.160000,9.620000,8.870000,9.290000,9.290000,21110700
2021-04-28,9.230000,9.670000,9.120000,9.300000,9.300000,12299900
2021-04-29,9.450000,9.450000,8.880000,9.060000,9.060000,6870000
2021-04-30,8.960000,9.130000,8.760000,8.830000,8.830000,6135800
2021-05-03,8.890000,8.910000,8.570000,8.610000,8.610000,5724900
2021-05-04,8.520000,8.590000,8.140000,8.360000,8.360000,8622900
2021-05-05,8.440000,8.460000,8.150000,8.220000,8.220000,5292300
2021-05-06,8.150000,8.220000,7.980000,8.150000,8.150000,7009600
2021-05-07,8.210000,8.630000,8.200000,8.480000,8.480000,5591900
2021-05-10,8.430000,8.440000,8.130000,8.130000,8.130000,5755100
2021-05-11,7.880000,8.340000,7.770000,8.300000,8.300000,8230200
2021-05-12,8.200000,8.250000,7.890000,7.950000,7.950000,7447300
2021-05-13,7.990000,8.180000,7.710000,7.940000,7.940000,13669500
2021-05-14,8.000000,8.540000,7.990000,8.440000,8.440000,9579300
2021-05-17,8.320000,8.570000,8.280000,8.490000,8.490000,5199900
2021-05-18,8.550000,9.030000,8.430000,8.770000,8.770000,7234400
2021-05-19,8.440000,8.590000,8.340000,8.540000,8.540000,5238500
2021-05-20,8.640000,8.810000,8.520000,8.780000,8.780000,4089300
2021-05-21,8.840000,8.870000,8.520000,8.520000,8.520000,5029000
2021-05-24,8.560000,8.670000,8.460000,8.620000,8.620000,4336500
2021-05-25,8.640000,8.700000,8.470000,8.590000,8.590000,7590900
2021-05-26,8.790000,9.600000,8.690000,9.440000,9.440000,26504900
2021-05-27,9.700000,10.150000,9.250000,9.970000,9.970000,45662100
2021-05-28,10.310000,12.090000,9.940000,10.070000,10.070000,116292700
2021-06-01,11.230000,11.610000,10.520000,11.560000,11.560000,87552400
2021-06-02,12.910000,16.660000,12.330000,15.250000,15.250000,346138300
2021-06-03,18.940001,20.170000,13.560000,15.880000,15.880000,536739400
2021-06-04,15.960000,16.350000,13.700000,13.860000,13.860000,174183700
2021-06-07,14.450000,16.600000,14.120000,15.770000,15.770000,197778200
2021-06-08,16.480000,17.170000,15.250000,15.800000,15.800000,162544200
2021-06-09,15.430000,16.180000,14.300000,15.160000,15.160000,103503100
2021-06-10,14.750000,15.240000,13.800000,13.890000,13.890000,68611400
2021-06-11,14.120000,14.330000,13.570000,14.180000,14.180000,56132800
2021-06-14,14.240000,14.750000,13.810000,14.050000,14.050000,47532000
2021-06-15,13.940000,14.410000,13.550000,13.990000,13.990000,39804700
2021-06-16,13.650000,13.800000,12.590000,12.880000,12.880000,44085000
2021-06-17,12.660000,13.660000,12.590000,13.510000,13.510000,43188000
2021-06-18,13.540000,13.870000,12.620000,12.900000,12.900000,38351400
2021-06-21,12.870000,12.970000,12.320000,12.800000,12.800000,23253600
2021-06-22,12.770000,13.570000,12.400000,13.410000,13.410000,32563300
2021-06-23,13.260000,13.470000,12.910000,13.140000,13.140000,22997600
2021-06-24,13.230000,13.330000,12.640000,12.680000,12.680000,22159000
2021-06-25,12.210000,12.460000,11.760000,12.120000,12.120000,36954200
2021-06-28,12.060000,12.860000,12.040000,12.800000,12.800000,31117800
2021-06-29,12.530000,12.690000,12.190000,12.240000,12.240000,14336800
2021-06-30,12.110000,12.510000,11.950000,12.220000,12.220000,13816700
2021-07-01,12.180000,12.270000,11.870000,12.170000,12.170000,12244100
2021-07-02,12.080000,12.250000,11.820000,11.990000,11.990000,10363100
2021-07-06,12.040000,12.390000,11.980000,12.070000,12.070000,10881200
2021-07-07,12.080000,12.140000,11.370000,11.440000,11.440000,12343300
2021-07-08,11.080000,11.780000,10.900000,11.550000,11.550000,12555800
2021-07-09,11.490000,11.800000,11.400000,11.790000,11.790000,5444500
2021-07-12,11.770000,11.830000,11.170000,11.250000,11.250000,7346800
2021-07-13,11.170000,11.420000,10.870000,11.080000,11.080000,6825500
2021-07-14,11.140000,11.210000,10.540000,10.660000,10.660000,9783400
2021-07-15,10.490000,10.910000,10.240000,10.570000,10.570000,12855700
2021-07-16,10.580000,10.690000,9.960000,10.110000,10.110000,10336000
2021-07-19,9.820000,10.090000,9.660000,9.880000,9.880000,12812500
2021-07-20,9.980000,10.720000,9.940000,10.620000,10.620000,11079700
2021-07-21,10.430000,10.870000,10.400000,10.820000,10.820000,7894300
2021-07-22,10.740000,10.900000,10.350000,10.380000,10.380000,4596100
2021-07-23,10.380000,10.440000,10.040000,10.180000,10.180000,4737400
2021-07-26,10.210000,10.410000,9.960000,10.160000,10.160000,8374000
2021-07-27,10.160000,10.180000,9.640000,9.910000,9.910000,8996900
